code,display_en,display_fi
CH2S4,,Fotografering av regnbågshinnan
CH2X4,,Optisk koherenstomografi (OCT) av regnbågshinnan och kammarvinkeln
CH3S4,,Fotografering av kammarvinkeln
CJ,Lens,Lins
CJA,Implantation of phakic lens,Implantation av phakisk linsprotes
CJA00,Implantation of phakic lens in anterior chamber,Implantation av phakisk linsprotes i främre kammare
CJA10,Implantation of phakic lens in posterior chamber,Implantation av phakisk linsprotes i bakre kammare
CJB,Operations on lens for secondary cataract,Operationer vid sekundär katarakt
CJB00,Discission of secondary cataract,Discission av sekundär katarakt eller membran med kniv
CJB10,Laser discission of secondary cataract,"Laserdiscission av sekundär katarakt eller membran, kapsulotomi"
CJB20,Irrigation and polishing of secondary cataract,Evakuering av sekundär katarakt och polering av bakre kapseln
CJB30,Excision of secondary cataract,Excision av sekundär katarakt
CJB40,Laser anterior capsulotomy,Främre laserkapsulotomi
CJB99,Other operation on lens for secondary cataract,Annan operation vid sekundär katarakt
CJC,Intracapsular cataract operations,Intrakapsulär kataraktextraktion
CJC00,Intracapsular cataract extraction,Intrakapsulär kataraktextraktion
CJC05,Intracapsular cataract extraction with iridectomy or iridotomy,Intrakapsulär kataraktextraktion med iridektomi eller iridotomi
CJC10,Intracapsular cataract extraction with implantation of artificial lens in anterior chamber,Intrakapsulär kataraktextraktion med  linsprotes i främre kammaren
CJC15,Intracapsular cataract extraction with implantation of artificial lens in anterior chamber and iridectomy or iridotomy,Intrakapsulär kataraktextraktion med iridektomi / iridotomi och med linsprotes i främre kammaren
CJC20,Intracapsular cataract extraction with implantation of artificial lens in posterior chamber,Intrakapsulär kataraktextraktion och med linsprotes i bakre kammaren
CJC25,Intracapsular cataract extraction with implantation of artificial lens in posterior chamber and iridectomy or iridotomy,Intrakapsulär kataraktextraktion med iridektomi / iridotomi och med linsprotes i bakre kammaren
CJC40,Intracapsular cataract extraction with implantation of scleral fixed artificial lens in posterior chamber,Intrakapsulär kataraktextraktion med linsprotes i bakre kammaren fixerad till sklera
CJC99,Other intracapsular cataract operation,Annan intrakapsulär kataraktoperation
CJD,Extracapsular cataract operations,Extrakapsulär kataraktoperation
CJD00,Extracapsular cataract extraction,Extrakapsulär kataraktextraktion
CJD05,Extracapsular cataract extraction with iridectomy or iridotomy,Extrakapsulär kataraktextraktion med iridektomi eller iridotomi
CJD10,Extracapsular cataract extraction with implantation of artificial lens in anterior chamber,Extrakapsulär kataraktextraktion med linsprotes i främre kammaren
CJD15,Extracapsular cataract extraction with implantation of artificial lens in anterior chamber and iridectomy or iridotomy,Extrakapsulär kataraktextraktion med iridektomi / iridotomi och med linsprotes i främre kammaren
CJD20,Extracapsular cataract extraction with implantation of artificial lens in posterior chamber,Extrakapsulär kataraktextraktion med linsprotes i bakre kammaren
CJD25,Extracapsular cataract extraction with implantation of artificial lens in posterior chamber and iridectomy or iridotomy,Extrakapsulär kataraktextraktion med iridektomi / iridotomi och med  linsprotes i bakre kammaren
CJD30,Pars plana lensectomy,Linsextraktion via pars plana
CJD40,Extracapsular cataract extraction with implantation of scleral fixed artificial lens in posterior chamber,Extrakapsulär kataraktextraktion med skleral fixerad linsprotes i bakre kammaren
CJD99,Other extracapsular cataract operations,Annan extrakapsulär kataraktoperation
CJE,Extracapsular cataract operations using phakoemulsification technique,Extrakapsulär kataraktoperation med fakoemulsifikation
CJE00,Phakoemulsification,Fakoemulsifikation
CJE05,Phakoemulsification with iridectomy or iridotomy,Fakoemulsifikation med iridektomi eller iridotomi
CJE10,Phakoemulsification with implantation of artificial lens in anterior chamber,Fakoemulsifikation med implantation av linsprotes i främre kammaren
CJE15,Phakoemulsification with implantation of artificial lens in anterior chamber and iridectomy or iridotomy,Fakoemulsifikation med iridektomi / iridotomi med linsprotes i främre kammaren
CJE20,Phakoemulsification with implantation of artificial lens in posterior chamber,Fakoemulsifikation med implantation av linsprotes i bakre kammaren
CJE21,,
CJE25,Phakoemulsification with implantation of artificial lens in posterior chamber and iridectomy or iridotomy,Fakoemulsifikation med iridektomi / iridotomi och med linsprotes i bakre kammaren
CJE40,Phakoemulsification with implantation of skleralt fixed artificial lens in posterior chamber,Fakoemulsifikation med implantation av skleralt fixerad linsprotes i bakre kammaren
CJE99,Other extracapsular cataract operation using phakoemulsification technique,Annan extrakapsulär kataraktoperation med fakoemulsifikation
CJF,Other operations on artificial lens,Andra operationer med linsprotes
CJF00,Secondary implantation of artificial lens in anterior chamber,Sekundär implantation av linsprotes i främre kammaren
CJF10,Secondary implantation of artificial lens in posterior chamber,Sekundär implantation av linsprotes i bakre kammaren
CJF15,Secondary implantation of skleral fixed artificial lens in posterior chamber,Sekundär implantation av linsprotes fixerad i sklera och  i bakre kammaren
CJF20,Removal of artificial lens,Extraktion av linsprotes
CJF30,Reduction of dislocation of artificial lens,Reposition av linsprotes
CJF35,,
CJF40,Removal and implantation of artificial lens in anterior chamber,Extraktion av linsprotes och insättning av ny linsprotes i främre kammaren
CJF45,Removal and implantation of artificial lens in anterior chamber with iridectomy or iridotomy,Extraktion av linsprotes med iridektomi / iridotomi och med ny linsprotes i främre kammaren
CJF50,Removal and implantation of artificial lens in posterior chamber,Extraktion av linsprotes och insättning av ny linsprotes i bakre kammaren
CJF55,Removal and implantation of artificial lens in posterior chamber with iridectomy or iridotomy,Extraktion av linsprotes med iridektomi / iridotomi och med ny linsprotes i bakre kammaren
CJF60,,
CJF65,,
CJF70,,
CJF75,,
CJF99,Other operation on artificial lens,Annan operation med linsprotes
CJG,Operations on dislocated lens,Operationer vid luxerad lins
CJG00,Extraction of dislocated lens,Extraktion av luxerad lins
CJG05,Extraction of dislocated lens with iridectomy or iridotomy,Extraktion av luxerad lins med iridektomi/iridotomi
CJG10,Extraction of dislocated lens with implantation of artificial lens in anterior chamber,Extraktion av luxerad lins med implantation av linsprotes i främre kammaren
CJG15,Extraction of dislocated lens with implantation of artificial lens in anterior chamber and iridectomy or iridotomy,Extraktion av luxerad lins med iridektomi/iridotomi och med linsprotes i främre kammaren
CJG20,Extraction of dislocated lens with implantation of artificial lens in posterior chamber,Extraktion av luxerad lins med implantation av linsprotes i bakre kammaren
CJG25,Extraction of dislocated lens with implantation of artificial lens in posterior chamber and iridectomy or iridotomy,Extraktion av luxerad lins med iridektomi/iridotomi och med linsprotes i bakre kammaren
CJG40,Extraction of dislocated lens with implantation of artificial scleral fixed lens in posterior chamber and iridectomy or iridotomy,"Extraktion av luxerad lins med  linsprotes i bakre kammaren, skleralt fixerad lens"
CJG99,Other operation on dislocated lens,Annan operation vid luxerad (naturlig) lins
CJW,Other operations on lens,Andra operationer på linsen
CJW99,Other operation on lens,Annan operation på linsen
CJ2M4,,Avbildningar och mätutskrifter för fastställade av styrkan på konstgjord lins
CJ2S4,,Fotografering av lins eller konstgjord lins
CK,"Choroid, retina and vitreous body","Åderhinna, näthinna och glaskropp"
CK_,"Diagnostic procedures of choroid, retina and vitreous body",Diagnostiska åtgärder av ögonbotten
CKA,"Biopsy of choroid, vitreous body and retina","Biopsi av åderhinna, näthinna och glaskropp"
CKA00,Biopsy of of choroid,Biopsi av åderhinna
CKA10,Biopsy of vitreous body,Biopsi av glaskropp
CKA20,Biopsy of retina,Biopsi av näthinna
CKA30,,
CKB,Operations on chorioid for detachment,Operationer vid korioidalavlossning
CKB00,Puncture and evacuation of suprachorioidal fluid,Punktion och tömning av subkorioidal vätska
CKB10,"Puncture, evacuation of suprachorioidal fluid and injection of vitreous substitute",Punktion och tömning av subkorioidal vätska och fyllning av glaskroppsrummet
CKB99,Other operation on chorioid for detachment,Annan operation vid korioidalavlossning
CKC,Extraocular operations on vitreous body and retina,"Extraokulära åtgärder på åderhinna, näthinna och i glaskroppen"
CKC00,Photorupture of vitreous body,Laserdiscission i glaskroppen
CKC10,Local photocoagulation of retina,"Fotokoagulation av näthinna, lokal"
CKC12,Photocoagulation of retina,Fotokoagulation av näthinna
CKC15,Panretinal photocoagulation,"Fotokoagulation av näthinna, panretinal"
CKC20,Cryopexy of undetached retina,Kryopexi på anliggande näthinna
CKC30,Cryopexy of detached retina,Kryopexi på avlöst näthinna
CKC40,Electrocoagulation of retina,Elektrokoagulation av näthinna
CKC50,Transscleral laser therapy of retina,Transskleral laserbehandling
CKC60,Local buckling of sclera using implant,Anläggande av plomb
CKC65,Removal of buckling implant from sclera,Avlägsnande av plomb
CKC70,Circular buckling of sclera,Anläggande av cerclage
CKC75,Removal of cerclage from sclera,Avlägsnande av cerclage
CKC80,Transcleral radiotherapy,Transskleral strålbehandling
CKC99,Other extraocular operations on vitreous body and retina,"Annan extraokulär operation på åderhinna, näthinna och i glaskroppen"
CKD,Intraocular operations on vitreous body and retina,"Intraokulära operationer på åderhinna, näthinna och i glaskroppen"
CKD00,Puncture of vitreous body for decompression,Dekompressiv punktion av glaskroppen
CKD05,Puncture of vitreous body with injection of medication,Injektion av läkemedel i glaskroppen
CKD10,Insufflation of vitreous cavity,Injektion av luft eller gas i glaskroppen
CKD15,Injection of vitreous substitute,Injektion av silikon m.m. i glaskroppen
CKD20,Removal of vitreous body substitute,Avlägsnande av glaskroppssubstitut
CKD25,External drainage of subretinal fluid,Externt dränage av subretinal vätska
CKD30,Internal drainage of subretinal fluid,Internt dränage av subretinal vätska
CKD40,Endophotocoagulation of retina,Endofotokoagulation av näthinna
CKD45,Endocryotherapy of retina,Endokryokoagulation av näthinna
CKD50,Endodiathermy of retina,Endodiatermi av näthinna
CKD60,Anterior vitrectomy,Främre vitrektomi
CKD65,Pars plana or pars plicata vitrectomy,Vitrektomi genom pars plana eller pars plicata
CKD70,Excision of preretinal or epiretinal membrane,Excision av preretinalt eller epiretinalt membran/stråk
CKD75,Retinotomy,Retinotomi
CKD80,Retinectomy,Retinektomi
CKD85,Removal of subretinal membrane or band,Avlägsnande av subretinalt membran/ärr
CKD90,Removal of subretinal haematoma,Avlägsnande av subretinalt hematom
CKD91,Extended vitrectomy through pars plana,Omfattande vitrektomi genom pars plana
CKD92,Combined vitrectomy and retinal procedure,Kombinerad vitrektomi och näthinneåtgärd
CKD93,Extended combined procedure on vitreous body and retina,Omfattande kompinerad operation på näthinnan och i glasgroppen
CKD94,Combined vitrectomy and procedure on lens through pars plana,Kombinerad vitrektomi och åtgärd på lens genom pars plana
CKD95,Extended combined vitectomy and lens procedure through pars plana,Omfattande kombinerad vitrektomi och lens åtgärd genom pars plana
CKD96,,
CKD99,Other intraoclular operations on vitreous body and retina,Annan intraokulär operation på näthinnan och i glaskroppen
CKE,Operations for lesion of choroid and retina,Operationer vid vävnadsförändring (t ex tumörer) i åderhinnan och näthinnan
CKE00,Excision of lesion of choroid,Exstirpation av tumör i åderhinna
CKE10,Transpupillary photocoagulation of lesion of choroid,Fotokoagulation (genom pupillen) av tumör i åderhinna
CKE15,Endophotocoagulation of lesion of choroid,Endofotokoagulation av tumör i åderhinna
CKE20,Cryotherapy of lesion of choroid,Kryoterapi av tumör i åderhinna
CKE30,Excision of lesion of retina,Exstirpation av tumör i näthinna
CKE40,Transpupillary photocoagulation of lesion of retina,Fotokoagulation (genom pupillen) av tumör i näthinna
CKE45,Endophotocoagulation of lesion of retina,Endofotokoagulation av tumör i näthinna
CKE50,Cryotherapy of lesion of retina,Kryoterapi av tumör i näthinna
CKE60,Brachytherapy of choroid and retina,Strålbehandling av tumör med intraokulär strålkälla
CKE65,Removal of brachytherapeutic plate from eye,Avlägsnande avintraokulär strålkälla
CKE99,Other operation for lesion of choroid or retina,Annan operation vid vävnadsförändring i åderhinnan eller näthinnan
CKW,"Other operations on choroid, vitreous body and retina","Andra operationer på åderhinnan, näthinnan och i glaskroppen"
CKW99,"Other operation on choroid, vitreous body and retina","Annan operation på åderhinnan, näthinnan och i glaskroppen"
CK_2,"Other procedures on choroid, vitreous body and retina","Andra åtgärder på åderhinnan, näthinnan och i glaskroppen"
CK2A4,,Autofluoresceinangiografi av ögonbotten
CK2J4,,Infrarödavbildning av ögonbotten
CK2K4,,Avbildning av ögonbotten med rödfritt ljus
CK2L4,,Vidvinkel-/panoramaavbildning av ögonbotten
CK2M4,,
CK2P4,,
CK2S4,,Nativ fotografering av ögonbotten
CK2X4,,Optisk koherenstomografi (OCT) av ögonbotten
CK2Y4,,OCT-videoavbildning av ögonbotten
CK2Z4,,
CK9F4,,Fluoresceinangiografi (FAG) av senhinnan och näthinnan
CK9G4,,Indocyaningrönt angiografi (ICGA) av av senhinnan och näthinnan
CK9Q4,,Undersökning av mörkerseende
CL,,Diabetesförändringar i ögonbotten
CLA10,,Ögonbottenundersökning (oftalmoskopi)
CL2L4,,Panoramascreening av diabetesrelaterade förändringar i ögonbotten
CL2S4,,Screeningfotografering av diabetesrelaterade förändringar i ögonbotten
CM,,Åldersrelaterade degenerationsförändringar i ögonbotten
CM2S4,,Screeningfotografering av åldersrelaterade degenerationsförändringar i ögonbotten
CM2X4,,OCT-avbildning för uppföljning av åldersrelaterade degenerationsförändringar i ögonbotten
CS,,Glaukom och synfältsundersökningar
CS1H4,,Neurofilamentavbildning
CS1V5,,
CS1W5,,
CS2P4,,Papillaavbildning
CS3P4,,Stereopapillaavbildning
CS424,,Synfältsundersökning med Goldmann-perimeter
CS434,,Synfältsundersökning med automatisk Humphrey-perimeter
CS444,,Synfältsundersökning med automatisk Octopus-perimeter
CS494,,Annan typ av synfältsundersökning
CS5Z4,,Särskild avbildning av glaukom
CW,Reoperations for complications in surgery of eye and adjacent structures,Åtgärder för komplikationer av ögonkirurgi
CWA00,Repair of wound dehiscence in eye and adjacent structures,Reoperation för sårruptur efter ögonoperation
CWB00,Reoperation for superficial infection in eye and adjacent structures,Revision av sårruptur/sårinfektion i ögat
